Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
Y0206-1,"Neave et al., 2019 (HAL)",IHPV,3,,1180,gl-ol-cp-pl,48.82,1.45,13.46,12.79,0.25,7.32,11.84,1.87,0.17,0.22,,0.04,98.22,5.256,3.35048,1.31048,3.216,2.04,8.0063
Y0200-1,"Neave et al., 2019 (HAL)",IHPV,3,,1160,gl-ol-cp-pl,46.65,2.43,12.56,14.81,0.31,6.33,10.67,1.83,0.24,0.51,,0.05,96.38,3.52,2.2351,0.1651,1.45,2.07,7.9099
Y0175-11,"Neave et al., 2019 (STA)",IHPV,3,,1160,gl-ol-cp-pl,49.13,1.89,15.31,12.83,0.23,7.04,11,2.42,0.31,0.23,,0.04,100.44,5.504,3.50982,0.77982,2.774,2.73,9.3283
Y0188-11,"Neave et al., 2019 (STA)",IHPV,3,,1140,gl-ol-cp-pl-Ca.cpx,48.5,2.38,14.55,13.76,0.21,6.3,9.78,2.41,0.37,0.36,,0.01,98.28,5,3.186,0.406,2.22,2.78,4.3795
Y0206-2,"Neave et al., 2019 (STA)",IHPV,3,,1180,gl-ol-cp-pl,49.45,2.34,14.26,12.4,0.22,6.7,11.3,2.26,0.32,0.32,,0.03,99.6,5.76,3.6743,1.0943,3.18,2.58,6.1507
Y0200-2,"Neave et al., 2019 (STA)",IHPV,3,,1160,gl-ol-cp-pl,48.67,3.21,13.29,14.16,0.26,5.91,10.4,2.32,0.42,0.5,,0.03,99.17,5.136,3.27338,0.53338,2.396,2.74,7.1109
Y0204-2,"Neave et al., 2019 (STA)",IHPV,3,,1140,gl-ol-cp-pl,46.65,4.21,12.04,14.94,0.26,5.41,9.86,2.26,0.6,0.75,,0.02,96.99,3.52,2.2351,-0.6249,0.66,2.86,1.9278
Y0272-1,"Neave and Bali et al., 2019",IHPV,1,,1140,gl-ol-cp-pl,50.26,1.79,14.11,11.88878916,0.22,6.75,11.66,2.32,0.2,0.14,,0.02,99.36,6.408,4.09064,1.57064,3.888,2.52,2.9633
Y0287-1,"Neave and Bali et al., 2019",IHPV,1,,1160,gl-ol-cp-pl,50.05,2.47,12.69,14.96537519,0.29,5.53,10.84,2.3,0.25,0.18,,0.01,99.57,6.24,3.9827,1.4327,3.69,2.55,2.3757
Y0204-3,"Neave and Bali et al., 2019",IHPV,3,,1140,gl-ol-cp-pl,50.51,1.77,14.16,12.37228977,0.26,6.84,11.87,2.17,0.19,0.13,0.04,0.02,100.3,6.608,4.21914,1.85914,4.248,2.36,-0.6198
#18,"Voigt et al., 2017",1atm_furnace,0.001,,1175,gl-ol-cp-pl,50.5,1.34,14.32,10.6,,7.36,12.61,2.65,,,,0.0177,99.38,6.6,4.214,1.564,3.95,2.65,0.53
#18,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,50.24,1.4,14.12,11.23,,7.31,12.09,2.6,,,,0.0499,99.05,6.392,4.08036,1.48036,3.792,2.6,-0.7624
#20,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,50.95,1.14,14.85,9.35,,8.11,12.81,2.44,,,,0.068,99.72,6.96,4.4453,2.0053,4.52,2.44,2.0157
#22,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,50.11,0.9,16.33,7.92,,9.07,12.88,2.12,,,,0.0771,99.41,6.288,4.01354,1.89354,4.168,2.12,-1.4388
#26,"Voigt et al., 2017",1atm_furnace,0.001,,1175,gl-ol-cp-pl,50.82,1.27,14.03,10.43,,7.25,12.45,2.56,,,,0.0025,98.79,6.856,4.37848,1.81848,4.296,2.56,-0.9873
#26,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,50.39,1.28,14.1,10.72,,7.17,12.54,2.78,,,,0.001,98.99,6.512,4.15746,1.37746,3.732,2.78,-0.9308
#29,"Voigt et al., 2017",1atm_furnace,0.001,,1190,gl-ol-cp-pl,50.63,1.12,14.84,9.38,,7.91,12.96,2.41,,,,0.0089,99.25,6.704,4.28082,1.87082,4.294,2.41,0.419
#32,"Voigt et al., 2017",1atm_furnace,0.001,,1186,gl-ol-cp-pl,49.46,1.21,14.52,10.53,,7.82,13.03,2.35,,,,0.0028,98.92,5.768,3.67944,1.32944,3.418,2.35,-1.2073
#32,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,50.15,1.28,14.64,9.31,,8.01,13.17,2.23,,,,0.0946,98.89,6.32,4.0341,1.8041,4.09,2.23,-2.6184
#34,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,51.69,1.25,14.53,8.46,,8.23,12.95,1.94,,,,0.0931,99.15,7.552,4.82566,2.88566,5.612,1.94,-1.0496
#36,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,49.66,1.2,14.4,10.33,,7.96,13.89,2.24,,,,0.0024,99.69,5.928,3.78224,1.54224,3.688,2.24,-1.0801
#37,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,49.68,1.21,14.27,10.47,,8.01,13.87,2.29,,,,0.0028,99.81,5.944,3.79252,1.50252,3.654,2.29,1.1891
#57,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,48.65,1.2,14.06,9.54,,9.19,12.3,2.21,,,,0.0303,97.19,5.12,3.2631,1.0531,2.91,2.21,2.0148
#57,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,47.57,1.19,13.93,10.77,,8.79,13.01,2.3,,,,0.0082,97.58,4.256,2.70798,0.40798,1.956,2.3,-0.0868
#60,"Voigt et al., 2017",1atm_furnace,0.001,0,0,gl-ol-cp-pl-sp,50.49,0.95,15.21,7.44,0,9.3,12.29,2.29,0,0,0,0.047,98.03,6.592,4.20886,1.91886,4.302,2.29,1.7608
#63,"Voigt et al., 2017",1atm_furnace,0.001,,1198,gl-ol-cp-pl,48.33,1.29,13.75,10.83,,8.54,12.26,2.31,,,,0.0092,97.32,4.864,3.09862,0.78862,2.554,2.31,1.393
#63,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,49.91,1.35,14.37,9.72,,8.79,11.78,2.39,,,,0.0319,98.34,6.128,3.91074,1.52074,3.738,2.39,2.2916
#63,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,48.13,1.26,13.89,10.97,,8.52,12.29,2.45,,,,0.0503,97.56,4.704,2.99582,0.54582,2.254,2.45,0.6497
#67,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,50.89,1.03,14.88,8.38,,9.16,11.8,2.26,,,,0.0356,98.44,6.912,4.41446,2.15446,4.652,2.26,-0.7926
#67,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,49.56,1.13,14.35,9.41,,8.45,13.08,2.38,,,,0.0185,98.38,5.848,3.73084,1.35084,3.468,2.38,0.6498
#78,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl-sp,49.44,1.18,14.24,9.35,,9.23,12.37,2.44,,,,0.0279,98.27,5.752,3.66916,1.22916,3.312,2.44,2.3507
#78,"Voigt et al., 2017",1atm_furnace,0.001,,,gl-ol-cp-pl,48.35,1.17,13.96,11.21,,9.11,13.04,2.39,,,,0.0118,99.23,4.88,3.1089,0.7189,2.49,2.39,16.4376
FH9840-3,Gaetani Unpublished,Piston Cylinder,10,,1260,gl-ol-cp-pl,47.04,1.2,17.45,12.67,0.18,7.64,10.4,2.46,0.11,0.08,,0.02,99.26,3.832,2.43556,-0.13444,1.262,2.57,-0.6643
FH9845-1,Gaetani Unpublished,Piston Cylinder,0.001,,1200,gl-ol-cp-pl,51.18,0.92,14.15,10.07,0.18,8.92,13.51,1.01,0,,,0.12,99.94,7.144,4.56352,3.55352,6.134,1.01,-0.7114
FH9845-12,Gaetani Unpublished,Piston Cylinder,0.001,,1205,gl-ol-cp-pl,50.08,0.91,14.31,9.76,0.21,8.88,13.87,1.39,0.05,,,0.14,99.47,6.264,3.99812,2.55812,4.824,1.44,0.1097
FH9845-15,Gaetani Unpublished,Piston Cylinder,0.001,,1190,gl-ol-cp-pl,50.649,1.05113,14.192,10.635,0.22458,8.101,13.07,1.63,0.04,0.05,,0.04011,99.62506,6.7192,4.290586,2.620586,5.0492,1.67,-5.9327
PV-4B ,"Iacovino et al., 2016",IHPV,2,± 0.2,1000 ,gl-cp-pl-ox-ap,51.93,1.48,18.8,3.91,0.14,0.99,4.07,8.01,5.67,1.62,,,96.63,7.744,4.94902,-8.73098,-5.936,13.68,24.3616
SI-1,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1123,gl-ol-cp-pl,45.6,5.09,14.3,12.2,,4.7,9.38,4.2,2.01,1.43,,,98.91,2.68,1.6954,-4.5146,-3.53,6.21,5.7252
SI-2,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1123,gl-ol-cp-pl,47.8,4.39,13.2,13.2,,4.48,9.17,3.75,1.77,1.36,,,99.1,4.44,2.8262,-2.6938,-1.08,5.52,7.1988
SI-13,"Mahood, G.A., Baker, D.R. (1986)",1atm_furnace,0.001,,1091,gl-ol-cp-pl-ox,48.5,4.32,13.3,13.5,,3.7,8.35,4.11,2.45,1.88,,,100.1,5,3.186,-3.374,-1.56,6.56,-2.0524
82-94A-15,"Baker, M.B., Grove, T.L., Price, R. (1994)",1atm_furnace,0.001,,1160,gl-ol-cp-pl,55.9,1.11,14.86,7.41,0.17,6,9,3.4,0.81,0.28,,0.05,98.99,10.92,6.9896,2.7796,6.71,4.21,-2.4738
82-94A-16,"Baker, M.B., Grove, T.L., Price, R. (1994)",1atm_furnace,0.001,,1149,gl-ol-cp-pl,56.8,1.36,14.4,7.8,0.16,5.17,8.3,3.61,0.97,0.37,,,98.94,11.64,7.4522,2.8722,7.06,4.58,1.7372
ALV-528-1-1-2,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1187,gl-ol-cp-pl-sp,49.5,1.08,14.3,11.8,0.16,7.47,12.7,1.98,0.14,,,0.05,99.18,5.8,3.7,1.58,3.68,2.12,-0.2087
ALV-528-1-1-30,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1176,gl-ol-cp-pl,50.8,1.12,13.8,10.7,0.19,7.8,12.2,1.46,0.14,,,0.08,98.29,6.84,4.3682,2.7682,5.24,1.6,0.8975
ALV-528-1-1-15,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1167,gl-ol-cp-pl,51.1,1.65,13.2,12.5,0.1,7.32,11.4,1.39,0.18,,,0.03,98.87,7.08,4.5224,2.9524,5.51,1.57,0.868
ALV-528-1-1-11,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1166,gl-ol-cp-pl,51.9,1.28,13.9,11.6,0.18,7.62,11.7,1.42,0.14,,,0.05,99.79,7.72,4.9336,3.3736,6.16,1.56,1.2181
ALV-528-1-1-4,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1156,gl-ol-cp-pl,50.4,1.51,12.6,13.6,0.14,6.61,11.2,1.25,0.14,,,0.05,97.5,6.52,4.1626,2.7726,5.13,1.39,-0.6663
ALV-528-1-1-17,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1193,gl-ol-cp-pl,50,0.76,14.2,10,0.15,9.01,13.8,1.5,0.13,,,0.09,99.64,6.2,3.957,2.327,4.57,1.63,-0.3278
ALV-525-4b-2,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1187,gl-ol-cp-pl-sp,50.6,1.23,14,10.8,0.19,7.41,12.3,1.89,0.17,,,0.12,98.71,6.68,4.2654,2.2054,4.62,2.06,-1.1222
ALV-525-4b-19,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1176,gl-ol-cp-pl,51.4,1.31,13.6,10.5,0.2,7.66,11.9,1.75,0.19,,,0.08,98.59,7.32,4.6766,2.7366,5.38,1.94,-0.9513
ALV-525-4b-15,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1167,gl-ol-cp-pl,51.1,2.43,12.9,11.5,0.13,7.3,11.4,1.47,0.23,,,0.01,98.47,7.08,4.5224,2.8224,5.38,1.7,0.1505
ALV-525-4b-11,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1166,gl-ol-cp-pl,51,1.43,13.6,11.2,0.1,7.34,11.5,1.48,0.17,,,0.05,97.87,7,4.471,2.821,5.35,1.65,-0.1872
ALV-525-4b-4,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1156,gl-ol-cp-pl,50.6,1.91,12.7,12.5,0.12,6.68,11,2.02,0.21,,,0.03,97.77,6.68,4.2654,2.0354,4.45,2.23,-3.2879
AII-32-12-6-8,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1193,gl-ol-cp-pl-sp,53.1,1.41,14.3,7.87,0.18,8.13,11.8,1.69,0.41,,,0.1,98.99,8.68,5.5504,3.4504,6.58,2.1,-1.0961
AII-32-12-6-10,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1181,gl-ol-cp-pl-sp,52.1,1.36,14.3,9.46,0.18,7.8,11.5,1.76,0.41,,,0.12,98.99,7.88,5.0364,2.8664,5.71,2.17,-0.938
AII-32-12-6-2,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1176,gl-ol-cp-pl,51,1.8,14,10.4,0.19,7.01,11.4,2.11,0.48,,,0.03,98.42,7,4.471,1.881,4.41,2.59,-1.7918
AII-32-12-6-3,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1174,gl-ol-cp-pl,51.6,1.58,13.9,9.68,0.16,7.71,11.8,1.69,0.38,,,0.06,98.56,7.48,4.7794,2.7094,5.41,2.07,-1.4699
AII-32-12-6-1,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1166,gl-ol-cp-pl,52.9,2.09,13.9,10.2,0.2,6.92,10.8,1.8,0.49,,,0.04,99.34,8.52,5.4476,3.1576,6.23,2.29,-2.4763
AII-32-12-6-5,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1165,gl-ol-cp-pl,51.8,1.93,13.8,9.65,0.21,7.2,11.4,2.1,0.54,,,0.04,98.67,7.64,4.8822,2.2422,5,2.64,-2.3022
AII-32-12-6-12,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1151,gl-ol-cp-pl,52.1,1.73,13.8,10.4,0.2,6.63,11.2,2.44,0.58,,,0.07,99.15,7.88,5.0364,2.0164,4.86,3.02,-1.0108
II-96-6-42-1,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1166,gl-ol-cp-pl,52,2.33,13.9,10.2,0.2,6.81,11,1.79,0.3,,,0.01,98.54,7.8,4.985,2.895,5.71,2.09,-2.048
II-96-6-42-5,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1165,gl-ol-cp-pl,51.9,1.93,13.8,9.78,0.18,7.11,11.3,2.42,0.29,,,0.03,98.74,7.72,4.9336,2.2236,5.01,2.71,-1.0326
II-96-6-42-12,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1151,gl-ol-cp-pl,51.5,1.77,13.6,11,0.21,6.58,11,2.71,0.28,,,0.05,98.7,7.4,4.728,1.738,4.41,2.99,0.2656
II-96-6-42-6,"Grove, T.L., Bryan, W.B. (1983)",1atm_furnace,0.001,,1137,gl-ol-cp-pl,51.2,2.66,12.6,12.8,0.21,6.16,10,2.12,0.34,,,0.02,98.11,7.16,4.5738,2.1138,4.7,2.46,-14.0089
SAY-7E-21,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1064,gl-ol-cp-sp-kfs,57.33,2.23,18.38,3.486854,0.04,1.43,2.26,6.8,6.43,0.73,,,99.19,12.064,7.72462,-5.50538,-1.166,13.23,-3.2416
BS-501-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1145,gl-ol-cp-pl-sp,53.43,2.29,16.05,7.520722,0.1,3.48,7.44,2.78,4.94,1.11,,,99.28,8.944,5.72002,-1.99998,1.224,7.72,-0.3277
BS-501-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1133,gl-ol-cp-pl-sp,52.17,2.57,16.4,7.432726,0.11,3.03,6.74,3.17,5.45,1.64,,,98.85,7.936,5.07238,-3.54762,-0.684,8.62,-105.6434
BS-501-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1116,gl-ol-cp-pl-sp-Lc,50.1,2.48,17.31,7.658698,0.12,3.03,6.5,4.86,5.4,1.87,,,99.48,6.28,4.0084,-6.2516,-3.98,10.26,-6.9177
BS-501-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1092.5,gl-ol-cp-pl-sp-Lc,54.02,2.41,18.45,5.348778,0.09,1.72,3.34,6.22,6.24,1.1,,,99.05,9.416,6.02328,-6.43672,-3.044,12.46,6.3049
K-8-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1176,gl-ol-cp-pl-sp,43.79,2.98,18.45,9.556634,0.15,4.85,11.92,3.07,3.03,0.64,,0.01,98.63,1.232,0.76506,-5.33494,-4.868,6.1,4.1642
K-8-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1149,gl-ol-cp-pl-sp,42.74,3.74,16.48,12.091564,0.19,4.66,10.98,4.84,2.68,1.09,,,99.71,0.392,0.22536,-7.29464,-7.128,7.52,5.3702
K-8-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1121,gl-ol-cp-pl-sp,45.38,3.35,17.61,10.697616,0.19,3.52,8.78,5.3,3.7,1.38,,0.01,100.11,2.504,1.58232,-7.41768,-6.496,9,3.2126
K-14-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1176,gl-ol-cp-pl-sp,45.93,2.62,17.12,9.02966,0.1,5.01,10.72,4.27,3.06,0.74,,0.01,98.77,2.944,1.86502,-5.46498,-4.386,7.33,3.6216
K-14-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1149,gl-ol-cp-pl-sp,47.04,2.56,18.21,9.405652,0.21,4.13,9.42,5.56,3.38,0.56,,0.01,100.66,3.832,2.43556,-6.50444,-5.108,8.94,0.5595
K-14-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1116,gl-ol-cp-pl-sp,48.42,2.76,19.3,7.83469,0.21,2.62,6.24,6.76,4.6,0.69,,,99.59,4.936,3.14488,-8.21512,-6.424,11.36,580.5503
K-15-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1121,gl-ol-cp-pl-sp,49.55,1.85,18.57,9.403648,0.21,2.79,6.68,6.37,3.97,0.53,,0.01,100.11,5.84,3.7257,-6.6143,-4.5,10.34,-75.8835
K-15-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1092.5,gl-ol-cp-pl-sp,50.39,1.8,17.7,8.995652,0.25,2.27,6.11,6.4,4.27,0.79,,0.01,99.15,6.512,4.15746,-6.51254,-4.158,10.67,-2.2491
K-15-21,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1064,gl-ol-cp-pl-sp,52.52,1.61,19.43,7.407696,0.22,1.72,4.52,6.98,5.17,0.5,,,100.23,8.216,5.25228,-6.89772,-3.934,12.15,1.3323
SSC-1-18,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1176,gl-ol-cp-pl-sp,44.93,2.91,15.57,11.381604,0.1,5.66,11.25,4.12,1.76,0.77,,0.02,98.67,2.144,1.35102,-4.52898,-3.736,5.88,9.3756
SSC-1-15,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1149,gl-ol-cp-pl-sp,44.35,3.75,15.45,12.731544,0.17,4.4,10.51,4.41,2.42,1.29,,,99.71,1.68,1.0529,-5.7771,-5.15,6.83,4.7149
SSC-1-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1121,gl-ol-cp-pl-sp,43.6,3.63,15.13,12.671524,0.15,4.02,10.06,5.08,2.76,1.98,,0.01,99.33,1.08,0.6674,-7.1726,-6.76,7.84,3.5383
SSC-2-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1116,gl-ol-cp-pl-sp,49.67,2.77,15.94,10.723588,0.23,2.88,6.49,6.03,2.88,0.95,,,98.77,5.936,3.78738,-5.12262,-2.974,8.91,71.8506
SSC-2-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1092.5,gl-ol-cp-pl-sp,51.44,2.33,17.27,9.366634,0.22,2.32,5.33,7.05,3.71,0.73,,,99.95,7.352,4.69716,-6.06284,-3.408,10.76,4.2079
CSQ-3-19,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1121,gl-ol-cp-pl-sp-ox,47.68,3.93,16.68,9.775612,0.15,3.2,7.15,6.16,3.46,0.99,,0.01,99.38,4.344,2.76452,-6.85548,-5.276,9.62,2.4166
CSQ-3-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1092.5,gl-ol-cp-pl-sp-ox,50.74,2.12,19.83,6.628738,0.11,2.04,4.95,7.55,4.6,1.07,,,99.77,6.792,4.33736,-7.81264,-5.358,12.15,1.0265
TB-253-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1145,gl-ol-cp-pl-sp,49.45,4.17,14.25,11.127596,0.15,4.36,8.91,4.04,2.37,0.78,,0.04,99.85,5.76,3.6743,-2.7357,-0.65,6.41,-2.1437
TB-253-6A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1133,gl-ol-cp-pl-ox,53.63,3.64,15.32,9.34465,0.2,2.82,6.04,4.31,3.96,0.63,,,100.07,9.104,5.82282,-2.44718,0.834,8.27,1.7885
HC-63-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1137,gl-ol-cp-pl-sp,50.87,4.51,11.81,14.873468,0.33,3.48,7.74,4.25,1.1,0.61,,,99.84,6.896,4.40418,-0.94582,1.546,5.35,-1.5615
PRT-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1116,gl-ol-cp-pl-ox,56.4,3.19,15.4,8.23968,0.1,2.61,4.75,5.84,2.75,0.52,,,99.96,11.32,7.2466,-1.3434,2.73,8.59,-3.2535
COL-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1145,gl-ol-cp-pl-sp,60.2,1.16,14.5,8.115712,0.11,3.43,6.36,4.2,1.84,0.28,,0.02,100.36,14.36,9.1998,3.1598,8.32,6.04,1.0289
ws-5A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1145,gl-ol-cp-pl,52.16,3.09,13.05,13.671564,0.22,4.45,8.52,2.81,1.25,0.34,,0.03,99.81,7.928,5.06724,1.00724,3.868,4.06,0.6964
ws-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1378,gl-ol-cp-pl-sp - cp,52.04,3.67,11.87,15.366494,0.22,3.63,7.74,2.75,1.46,0.38,,0.02,99.4,7.832,5.00556,0.79556,3.622,4.21,-0.0008
ws-13,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1116,gl-ol-cp-pl-sp,52.37,3.28,13.13,13.077536,0.17,2.93,6.99,3.94,2.24,0.72,,,99.08,8.096,5.17518,-1.00482,1.916,6.18,-1.9674
ws-20,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1092.5,gl-ol-cp-pl,57.87,2.53,13.56,10.680622,0.16,2.3,5.41,4.01,2.53,0.77,,,100.01,12.496,8.00218,1.46218,5.956,6.54,3.0302
FG-4A,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1137,gl-ol-cp-pl-sp-ox,50.73,4.35,11.28,16.298438,0.25,3.78,8.23,3.13,0.82,0.64,,0.05,99.84,6.784,4.33222,0.38222,2.834,3.95,16.7134
94-08A-24,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1160,gl-ol-cp-pl-sp-Lc,47.32,1.49,16.39,9.758658,0.19,4.96,10.78,2.35,4.34,1.21,,0.03,98.99,4.056,2.57948,-4.11052,-2.634,6.69,8.391
PC-OP-26,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",1atm_furnace,0.001,,1072,gl-ol-cp-pl-gl-Nph,52.17,1.44,20.98,6.111784,0.1,3.11,6.44,9.44,0.9,0.43,,,101.23,7.936,5.07238,-5.26762,-2.404,10.34,3.8913
11,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",1atm_furnace,0.001,,1119,gl-ol-cp-pl-sp,49.51,3.39,12.29,14.62,0.24,5.56,9.73,2.55,1.07,0.74,,,99.7,5.808,3.70514,0.08514,2.188,3.62,12.0275
20,"Scoates, J.S., Lo Cascio, M., Weis, D., Lindsley, D.H. (2006)",Piston Cylinder,4.3,,1120,gl-ol-cp-pl ,46.34,4.84,11.98,18.46,0.27,3.86,8.15,2.99,1.51,0.94,,,99.33,3.272,2.07576,-2.42424,-1.228,4.5,0.7369
TJ-52,"Auwera, J. V., and Longhi, J. (1994)",1atm_furnace,0.001,,1080,gl-ol-cp-pl-ox,54.1,3.26,11.8,13.2,0.2,2.83,6.57,2.83,1.62,1.15,,0.03,97.59,9.48,6.0644,1.6144,5.03,4.45,3.1627
TJ-53,"Auwera, J. V., and Longhi, J. (1994)",1atm_furnace,0.001,,1070,gl-ol-cp-pl-sp-ox,53.1,3.38,11.4,15.1,0.16,2.75,7.15,2.61,1.83,1.79,,,99.25,8.68,5.5504,1.1104,4.24,4.44,1.8836
TJ-55,"Auwera, J. V., and Longhi, J. (1994)",1atm_furnace,0.001,,1065,gl-ol-cp-pl-ox - cp,54.9,2.68,11.8,13.3,0.17,2.26,6.2,2.53,2.3,1.87,,0.01,98.01,10.12,6.4756,1.6456,5.29,4.83,4.435
TJ-47,"Auwera, J. V., and Longhi, J. (1994)",Piston Cylinder,5,,1100,gl-ol-cp-pl-ox,50.2,4.42,11.5,15.1,0.19,3.39,7.06,3.65,1.69,1.42,,0.03,98.65,6.36,4.0598,-1.2802,1.02,5.34,15.5029
TJ-4,"Auwera, J. V., and Longhi, J. (1994)",Piston Cylinder,7,,1095,gl-ol-cp-pl-ox,47.1,4.21,12,17.8,0.18,3.4,7.28,2.93,2.02,2.32,,,99.24,3.88,2.4664,-2.4836,-1.07,4.95,10.1875
