Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),alk,KB08
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1117,gl-ol-cp-pl,47.36,4.37,11.45,17.26,0.26,4.31,9.76,2.32,0.71,0.43,,,98.23,4.088,2.60004,-0.42996,1.058,3.03,8.4363
FG1-Bm,Thy2006,1atm_furnace,0.001,0.00001,1106,gl-ol-cp-pl,47.05,4.92,11.04,18.79,0.31,4.53,9.43,2.26,0.7,0.49,,,99.52,3.84,2.4407,-0.5193,0.88,2.96,4.302
FG1-Bc,Thy2006,1atm_furnace,0.001,0.00001,1161,gl-ol-cp-pl,47.67,3.01,12.47,14.51,0.25,5.81,10.65,2.56,0.45,0.3,,,97.68,4.336,2.75938,-0.25062,1.326,3.01,5.8911
FG1-Bc,Thy2006,1atm_furnace,0.001,0.00001,1116,gl-ol-cp-pl,47.88,4.59,11.14,17.52,0.29,4.2,9.33,2.41,0.75,0.58,,,98.69,4.504,2.86732,-0.29268,1.344,3.16,7.7459
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1144,gl-ol-cp-pl,47.68,3.11,12.94,15.87,0.23,5.81,10.44,2.37,0.45,0.35,,,99.25,4.344,2.76452,-0.05548,1.524,2.82,9.2603
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1135,gl-ol-cp-pl,47.59,3.87,12.52,17.4,0.25,5.4,10.06,2.52,0.56,0.42,,,100.59,4.272,2.71826,-0.36174,1.192,3.08,9.9086
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1126,gl-ol-cp-pl,46.78,4.14,12.06,18.07,0.26,5.06,9.87,2.57,0.58,0.42,,,99.81,3.624,2.30192,-0.84808,0.474,3.15,10.9876
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1117,gl-ol-cp-pl,46.17,4.5,11.79,18.66,0.28,4.66,9.58,2.48,0.61,0.47,,,99.2,3.136,1.98838,-1.10162,0.046,3.09,10.1536
FG1-Cm,Thy2006,1atm_furnace,0.001,0.00001,1107,gl-ol-cp-pl,46.97,5.13,11.07,19.49,0.32,4.37,9.77,2.19,0.63,0.71,,,100.65,3.776,2.39958,-0.42042,0.956,2.82,5.7559
FG1-Cc,Thy2006,1atm_furnace,0.001,0.00001,1138,gl-ol-cp-pl,47.47,4.21,11.84,15.84,0.23,5.19,9.88,2.46,0.44,0.42,,,97.98,4.176,2.65658,-0.24342,1.276,2.9,6.0526
